Loop number,Time taken
0,1.0440809726715088
1,1.3728206157684326
2,1.0506980419158936
3,1.2228844165802002
4,1.164132833480835
5,1.438216209411621
6,1.3538734912872314
7,1.157547950744629
8,1.2319791316986084
9,1.4317471981048584
10,1.2721333503723145
11,1.022948980331421
12,1.5689446926116943
13,1.3108189105987549
14,1.0679709911346436
15,1.2381377220153809
16,1.0250747203826904
17,1.4444642066955566
18,1.2216498851776123
19,0.9739065170288086
20,1.2776429653167725
21,1.3426034450531006
22,1.3438799381256104
23,1.4227118492126465
24,1.2360403537750244
25,1.1814179420471191
26,1.2956910133361816
27,1.6236143112182617
28,1.018293857574463
29,1.058854579925537
30,1.210498571395874
31,1.6483566761016846
32,1.232614517211914
33,1.3884050846099854
34,1.0300657749176025
35,0.9545242786407471
36,1.1591284275054932
37,1.2333157062530518
38,1.2005960941314697
39,1.3025550842285156
40,1.3695902824401855
41,1.2905097007751465
42,1.0907084941864014
43,1.55879545211792
44,1.2488207817077637
45,1.1600987911224365
46,1.2094099521636963
47,1.3268418312072754
48,1.6620006561279297
49,1.2360405921936035
